"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Northern Africa and Western Asia","Bahrain","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","71.18","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Latin America and the Caribbean","Brazil","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","43.50","SOURCE: Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6"
"SDG: Europe and Northern America","Canada","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","98.78","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4. The results correspond only to Quebec"
"SDG: Sub-Saharan Africa","Côte d'Ivoire","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","22.00","SOURCE: CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6"
"SDG: Sub-Saharan Africa","Cameroon","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","30.20","SOURCE: CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6"
"SDG: Sub-Saharan Africa","Democratic Republic of the Congo","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","9.20","SOURCE: CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6"
"SDG: Sub-Saharan Africa","Congo","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","33.60","SOURCE: CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6"
"SDG: Latin America and the Caribbean","Colombia","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","37.50","SOURCE: Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6"
"SDG: Latin America and the Caribbean","Costa Rica","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","54.00","SOURCE: Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6"
"SDG: Latin America and the Caribbean","Cuba","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","44.50","SOURCE: Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6"
"SDG: Northern Africa and Western Asia","Cyprus","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","91.79","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Europe and Northern America","Czechia","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","96.01","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Europe and Northern America","Germany","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","93.59","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Latin America and the Caribbean","Dominican Republic","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","16.40","SOURCE: Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6"
"SDG: Latin America and the Caribbean","Ecuador","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","26.10","SOURCE: Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6"
"SDG: Northern Africa and Western Asia","Egypt","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","44.57","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Europe and Northern America","Spain","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","95.23","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Europe and Northern America","Finland","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","96.48","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Europe and Northern America","France","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","93.86","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Sub-Saharan Africa","Gabon","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","76.30","SOURCE: CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6"
"SDG: Europe and Northern America","United Kingdom of Great Britain and Northern Ireland","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","97.03","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4.  The results correspond only to England"
"SDG: Northern Africa and Western Asia","Georgia","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","87.16","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Sub-Saharan Africa","Guinea","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","22.20","SOURCE: CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6"
"SDG: Latin America and the Caribbean","Guatemala","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","15.90","SOURCE: Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6"
"SDG: Eastern and South-Eastern Asia","China, Hong Kong Special Administrative Region","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","98.28","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Latin America and the Caribbean","Honduras","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","16.20","SOURCE: Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6"
"SDG: Europe and Northern America","Croatia","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","98.08","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Europe and Northern America","Hungary","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","94.13","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Central and Southern Asia","Iran (Islamic Republic of)","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","58.60","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Northern Africa and Western Asia","Israel","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","87.96","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Europe and Northern America","Italy","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","97.18","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Northern Africa and Western Asia","Jordan","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","46.64","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Central and Southern Asia","Kazakhstan","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","90.70","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Central Asia","Kazakhstan","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","90.70","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Sub-Saharan Africa","Kenya","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","46.70","SOURCE: Assessments for Minimum Proficiency Levels (AMPL). Grade 7"
"SDG: Eastern and South-Eastern Asia","Cambodia","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","11.00","SOURCE: Southeast Asia Primary Learning Metrics (SEA-PLM); Grade 5; Minimum proficiency level: Level 6 and above"
"SDG: Eastern and South-Eastern Asia","Lao People's Democratic Republic","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","2.00","SOURCE: Southeast Asia Primary Learning Metrics (SEA-PLM); Grade 5; Minimum proficiency level: Level 6 and above"
"SDG: Europe and Northern America","Lithuania","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","97.11","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Europe and Northern America","Latvia","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","94.29","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Eastern and South-Eastern Asia","China, Macao Special Administrative Region","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","95.92","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Northern Africa and Western Asia","Morocco","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","40.58","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Sub-Saharan Africa","Madagascar","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","6.30","SOURCE: CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6"
"SDG: Latin America and the Caribbean","Mexico","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","41.70","SOURCE: Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6"
"SDG: Europe and Northern America","North Macedonia","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","69.96","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Europe and Northern America","Malta","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","90.24","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Eastern and South-Eastern Asia","Myanmar","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","11.00","SOURCE: Southeast Asia Primary Learning Metrics (SEA-PLM); Grade 5; Minimum proficiency level: Level 6 and above"
"SDG: Europe and Northern America","Montenegro","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","86.91","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Eastern and South-Eastern Asia","Malaysia","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","58.00","SOURCE: Southeast Asia Primary Learning Metrics (SEA-PLM); Grade 5; Minimum proficiency level: Level 6 and above"
"SDG: Sub-Saharan Africa","Niger","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","14.40","SOURCE: CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6"
"SDG: Latin America and the Caribbean","Nicaragua","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","13.00","SOURCE: Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6"
"SDG: Europe and Northern America","Netherlands","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","96.45","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Oceania","New Zealand","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","89.88","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Northern Africa and Western Asia","Oman","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","62.20","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Latin America and the Caribbean","Panama","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","17.50","SOURCE: Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6"
"SDG: Latin America and the Caribbean","Peru","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","49.00","SOURCE: Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6"
"SDG: Eastern and South-Eastern Asia","Philippines","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","10.00","SOURCE: Southeast Asia Primary Learning Metrics (SEA-PLM); Grade 5; Minimum proficiency level: Level 6 and above"
"SDG: Europe and Northern America","Poland","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","97.21","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Europe and Northern America","Portugal","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","94.18","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Latin America and the Caribbean","Paraguay","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","18.80","SOURCE: Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6"
"SDG: Northern Africa and Western Asia","Qatar","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","80.39","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Europe and Northern America","Russian Federation","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","98.36","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Northern Africa and Western Asia","Saudi Arabia","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","71.07","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Sub-Saharan Africa","Senegal","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","41.10","SOURCE: CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6"
"SDG: Eastern and South-Eastern Asia","Singapore","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","96.66","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Latin America and the Caribbean","El Salvador","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","29.40","SOURCE: Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6"
"SDG: Europe and Northern America","Serbia","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","92.80","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Europe and Northern America","Slovakia","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","93.65","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Europe and Northern America","Slovenia","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","94.38","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Europe and Northern America","Sweden","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","95.28","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Sub-Saharan Africa","Chad","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","7.60","SOURCE: CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6"
"SDG: Sub-Saharan Africa","Togo","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","19.40","SOURCE: CONFEMEN Programme for the Analysis of Education Systems (PASEC). Students achieving at least proficiency Level 4. Grade 6"
"SDG: Northern Africa and Western Asia","Türkiye","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","85.89","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Latin America and the Caribbean","Uruguay","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","43.80","SOURCE: Laboratorio Latinoamericano de Evaluacion de la Calidad de la Educacion (LLECE). Students achieving at least proficiency Level 3. Grade 6"
"SDG: Europe and Northern America","United States of America","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","94.51","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Central and Southern Asia","Uzbekistan","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","69.84","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Central Asia","Uzbekistan","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","69.84","SOURCE: Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4"
"SDG: Eastern and South-Eastern Asia","Viet Nam","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2019","82.00","SOURCE: Southeast Asia Primary Learning Metrics (SEA-PLM); Grade 5; Minimum proficiency level: Level 6 and above"
"SDG: Sub-Saharan Africa","Zambia","4.1","4.1.1","Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, both sexes (%)","2021","2.30","SOURCE: Assessments for Minimum Proficiency Levels (AMPL). Grade 5"
