"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Europe and Northern America","Albania","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","96.50","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Albania","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2019","83.20","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Albania","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2020","84.50","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Albania","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2018","81.80","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Albania","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","97.30","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Latin America and the Caribbean","Argentina","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","74.80","SOURCE: Argentina EPH 2020 (GEMR)."
"SDG: Latin America and the Caribbean","Argentina","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","96.30","SOURCE: Argentina EPH 2019 (GEMR)."
"SDG: Latin America and the Caribbean","Argentina","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2020","64.30","SOURCE: Argentina EPH 2020 (GEMR)."
"SDG: Latin America and the Caribbean","Argentina","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","74.50","SOURCE: Argentina EPH 2019 (GEMR)."
"SDG: Latin America and the Caribbean","Argentina","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2019","63.80","SOURCE: Argentina EPH 2019 (GEMR)."
"SDG: Latin America and the Caribbean","Argentina","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2018","63.40","SOURCE: Argentina EPH 2018 (GEMR)."
"SDG: Latin America and the Caribbean","Argentina","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","74.40","SOURCE: Argentina EPH 2018 (GEMR)."
"SDG: Latin America and the Caribbean","Argentina","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","96.20","SOURCE: Argentina EPH 2018 (GEMR)."
"SDG: Latin America and the Caribbean","Argentina","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","96.30","SOURCE: Argentina EPH 2020 (GEMR)."
"SDG: Northern Africa and Western Asia","Armenia","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2019","96.00","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Northern Africa and Western Asia","Armenia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","99.70","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Northern Africa and Western Asia","Armenia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","97.80","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Northern Africa and Western Asia","Armenia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","99.63","SOURCE: Armenia ILCS 2018 (GEMR)."
"SDG: Northern Africa and Western Asia","Armenia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","99.70","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Northern Africa and Western Asia","Armenia","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2020","96.80","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Northern Africa and Western Asia","Armenia","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2018","77.99","SOURCE: Armenia ILCS 2018 (GEMR)."
"SDG: Northern Africa and Western Asia","Armenia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","97.36","SOURCE: Armenia ILCS 2018 (GEMR)."
"SDG: Northern Africa and Western Asia","Armenia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","97.80","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Oceania","Australia","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2020","87.60","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Oceania","Australia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","99.50","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Oceania","Australia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","98.40","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Oceania","Australia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","99.40","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Oceania","Australia","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2018","90.31","SOURCE: Australia SIH 2018 (GEMR)."
"SDG: Oceania","Australia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","99.14","SOURCE: Australia SIH 2018 (GEMR)."
"SDG: Oceania","Australia","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","99.50","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Oceania","Australia","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2019","87.30","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Oceania","Australia","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","98.50","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","100.00","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2020","84.61","SOURCE: Austria EU-LFS 2020 (GEMR)."
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","97.44","SOURCE: Austria EU-LFS 2018 (GEMR)."
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","97.21","SOURCE: Austria EU-LFS 2020 (GEMR)."
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2021","97.98","SOURCE: Austria EU-LFS 2021 (GEMR)."
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2021","85.32","SOURCE: Austria EU-LFS 2021 (GEMR)."
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2018","86.54","SOURCE: Austria EU-LFS 2018 (GEMR)."
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2019","85.84","SOURCE: Austria EU-LFS 2019 (GEMR)."
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","100.00","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","100.00","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Austria","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","97.15","SOURCE: Austria EU-LFS 2019 (GEMR)."
"SDG: Sub-Saharan Africa","Burundi","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2019","8.20","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Burundi","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","48.40","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Burundi","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2020","8.50","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Burundi","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","24.30","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Burundi","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","27.10","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Burundi","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2018","7.90","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Burundi","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","50.10","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Burundi","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","25.70","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Burundi","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","51.80","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Belgium","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","92.08","SOURCE: Belgium EU-LFS 2019 (GEMR)."
"SDG: Europe and Northern America","Belgium","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2020","86.60","SOURCE: Belgium EU-LFS 2020 (GEMR)."
"SDG: Europe and Northern America","Belgium","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2021","95.40","SOURCE: Belgium EU-LFS 2021 (GEMR)."
"SDG: Europe and Northern America","Belgium","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","94.56","SOURCE: Belgium EU-LFS 2020 (GEMR)."
"SDG: Europe and Northern America","Belgium","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2021","88.11","SOURCE: Belgium EU-LFS 2021 (GEMR)."
"SDG: Europe and Northern America","Belgium","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2018","85.88","SOURCE: Belgium EU-LFS 2018 (GEMR)."
"SDG: Europe and Northern America","Belgium","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","99.80","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Belgium","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","99.80","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Belgium","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2019","85.30","SOURCE: Belgium EU-LFS 2019 (GEMR)."
"SDG: Europe and Northern America","Belgium","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","94.15","SOURCE: Belgium EU-LFS 2018 (GEMR)."
"SDG: Europe and Northern America","Belgium","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","99.80","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Benin","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","47.57","SOURCE: Benin DHS 2018 (GEMR)."
"SDG: Sub-Saharan Africa","Benin","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","62.10","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Benin","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","28.70","SOURCE: Benin EHCVM 2019 (GEMR)."
"SDG: Sub-Saharan Africa","Benin","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2018","8.39","SOURCE: Benin DHS 2018 (GEMR)."
"SDG: Sub-Saharan Africa","Benin","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2019","12.10","SOURCE: Benin EHCVM 2019 (GEMR)."
"SDG: Sub-Saharan Africa","Benin","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","61.40","SOURCE: Benin EHCVM 2019 (GEMR)."
"SDG: Sub-Saharan Africa","Benin","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2020","12.30","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Benin","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","29.10","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Sub-Saharan Africa","Benin","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","18.58","SOURCE: Benin DHS 2018 (GEMR)."
"SDG: Sub-Saharan Africa","Burkina Faso","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","65.92","SOURCE: Burkina Faso EHCVM 2019 (GEMR)."
"SDG: Sub-Saharan Africa","Burkina Faso","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","40.27","SOURCE: Burkina Faso EHCVM 2019 (GEMR)."
"SDG: Sub-Saharan Africa","Burkina Faso","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2019","15.59","SOURCE: Burkina Faso EHCVM 2019 (GEMR)."
"SDG: Central and Southern Asia","Bangladesh","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2020","32.50","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Central and Southern Asia","Bangladesh","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","85.20","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Central and Southern Asia","Bangladesh","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2019","29.36","SOURCE: Bangladesh MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Central and Southern Asia","Bangladesh","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","67.60","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Central and Southern Asia","Bangladesh","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2018","30.30","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Central and Southern Asia","Bangladesh","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","82.61","SOURCE: Bangladesh MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Central and Southern Asia","Bangladesh","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","83.00","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Central and Southern Asia","Bangladesh","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","64.75","SOURCE: Bangladesh MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Central and Southern Asia","Bangladesh","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","64.90","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2020","85.11","SOURCE: Bulgaria EU-LFS 2020 (GEMR)."
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2018","87.62","SOURCE: Bulgaria EU-LFS 2018 (GEMR)."
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","95.21","SOURCE: Bulgaria EU-LFS 2020 (GEMR)."
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","96.34","SOURCE: Bulgaria EU-LFS 2018 (GEMR)."
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2019","84.25","SOURCE: Bulgaria EU-LFS 2019 (GEMR)."
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2021","97.99","SOURCE: Bulgaria EU-LFS 2021 (GEMR)."
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","94.51","SOURCE: Bulgaria EU-LFS 2019 (GEMR)."
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","99.70","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","99.70","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2021","86.97","SOURCE: Bulgaria EU-LFS 2021 (GEMR)."
"SDG: Europe and Northern America","Bulgaria","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","99.60","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Belarus","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","98.90","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Belarus","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","99.00","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Belarus","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","99.80","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Belarus","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2019","90.38","SOURCE: Belarus MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Europe and Northern America","Belarus","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2018","91.10","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Belarus","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","99.70","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Belarus","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","100.00","SOURCE: Belarus MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Europe and Northern America","Belarus","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2020","91.70","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Europe and Northern America","Belarus","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","99.55","SOURCE: Belarus MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above."
"SDG: Latin America and the Caribbean","Belize","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2018","38.70","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Latin America and the Caribbean","Belize","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","39.40","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Latin America and the Caribbean","Belize","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2019","15.70","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Latin America and the Caribbean","Belize","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2018","82.30","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Latin America and the Caribbean","Belize","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2020","40.00","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Latin America and the Caribbean","Belize","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","83.40","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Latin America and the Caribbean","Belize","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2018","15.40","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Latin America and the Caribbean","Belize","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2019","82.80","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Latin America and the Caribbean","Belize","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2020","16.00","SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)"
"SDG: Latin America and the Caribbean","Bolivia (Plurinational State of)","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2021","98.72","SOURCE: ECLAC based on Encuesta Continua de Hogares - ECH, Nacional, Nov."
"SDG: Latin America and the Caribbean","Bolivia (Plurinational State of)","4.1","4.1.2","Completion rate, lower secondary education, both sexes (%)","2019","91.66","SOURCE: ECLAC based on Encuesta Continua de Hogares - ECH, Nacional, Nov."
"SDG: Latin America and the Caribbean","Bolivia (Plurinational State of)","4.1","4.1.2","Completion rate, upper secondary education, both sexes (%)","2019","76.98","SOURCE: ECLAC based on Encuesta Continua de Hogares - ECH, Nacional, Nov."
"SDG: Latin America and the Caribbean","Bolivia (Plurinational State of)","4.1","4.1.2","Completion rate, primary education, both sexes (%)","2020","96.95","SOURCE: ECLAC based on Encuesta Continua de Hogares - ECH, Nacional, Nov."
